episode_id,prefix_episode_id,task_uid,benchmark,arm,run,plan_run_order,seed,model_call_seed_t1,invocation,attempt,start_utc,fork_t,n_decisions,success,restoration_transcript_hash_matches,restoration_tool_result_reproduced_stored,durable_rows_lost_invocation,durable_rows_recovery_invocation
branch:log:humaneval/160#5:large#1,log:humaneval/160#5,humaneval/160,humaneval,large,1,99,1008427931,1008428032,0445024c72d2,1,2026-09-20T01:22:05Z,1,3,0,1,1,2,0
branch:log:humaneval/160#6:small#0,log:humaneval/160#6,humaneval/160,humaneval,small,0,100,1232936202,1232936303,0445024c72d2,1,2026-09-20T01:22:15Z,1,3,0,1,1,2,0
branch:log:humaneval/160#6:small#1,log:humaneval/160#6,humaneval/160,humaneval,small,1,101,1380860870,1380860971,0445024c72d2,1,2026-09-20T01:22:25Z,1,3,0,1,1,2,0
branch:log:humaneval/160#6:large#0,log:humaneval/160#6,humaneval/160,humaneval,large,0,102,1324676297,1324676398,0445024c72d2,1,2026-09-20T01:22:25Z,1,3,0,1,1,2,0
branch:log:humaneval/160#6:large#1,log:humaneval/160#6,humaneval/160,humaneval,large,1,103,809493673,809493774,0445024c72d2,1,2026-09-20T01:22:33Z,1,3,0,1,1,2,0
branch:log:humaneval/19#2:small#0,log:humaneval/19#2,humaneval/19,humaneval,small,0,104,1316752540,1316752641,0445024c72d2,1,2026-09-20T01:22:33Z,1,3,0,1,1,2,0
branch:log:humaneval/19#2:small#1,log:humaneval/19#2,humaneval/19,humaneval,small,1,105,1485862124,1485862225,0445024c72d2,1,2026-09-20T01:22:48Z,1,3,0,1,1,2,0
branch:log:humaneval/19#2:large#0,log:humaneval/19#2,humaneval/19,humaneval,large,0,106,1699922029,1699922130,0445024c72d2,1,2026-09-20T01:22:55Z,1,3,0,1,1,2,0
branch:log:humaneval/19#2:large#1,log:humaneval/19#2,humaneval/19,humaneval,large,1,107,2028508437,2028508538,0445024c72d2,1,2026-09-20T01:23:01Z,1,3,0,1,1,2,0
branch:log:humaneval/19#5:small#0,log:humaneval/19#5,humaneval/19,humaneval,small,0,108,1025601552,1025601653,0445024c72d2,1,2026-09-20T01:23:05Z,1,3,0,1,1,2,0
branch:log:humaneval/19#5:small#1,log:humaneval/19#5,humaneval/19,humaneval,small,1,109,119293846,119293947,0445024c72d2,1,2026-09-20T01:23:13Z,1,3,0,1,1,2,0
branch:log:humaneval/19#5:large#0,log:humaneval/19#5,humaneval/19,humaneval,large,0,110,435256370,435256471,0445024c72d2,1,2026-09-20T01:23:31Z,1,3,0,1,1,2,0
branch:log:humaneval/19#5:large#1,log:humaneval/19#5,humaneval/19,humaneval,large,1,111,1337538780,1337538881,0445024c72d2,1,2026-09-20T01:23:39Z,1,3,0,1,1,2,0
branch:log:humaneval/20#7:small#0,log:humaneval/20#7,humaneval/20,humaneval,small,0,112,2054456704,2054456805,0445024c72d2,1,2026-09-20T01:24:00Z,1,3,0,1,1,2,0
branch:log:humaneval/20#7:small#1,log:humaneval/20#7,humaneval/20,humaneval,small,1,113,2013323761,2013323862,0445024c72d2,1,2026-09-20T01:24:08Z,1,3,0,1,1,2,0
branch:log:humaneval/20#7:large#0,log:humaneval/20#7,humaneval/20,humaneval,large,0,114,1108243390,1108243491,0445024c72d2,1,2026-09-20T01:24:14Z,1,3,0,1,1,2,0
branch:log:humaneval/20#7:large#1,log:humaneval/20#7,humaneval/20,humaneval,large,1,115,385076321,385076422,0445024c72d2,1,2026-09-20T01:24:17Z,1,3,1,1,1,2,0
branch:log:humaneval/21#0:small#0,log:humaneval/21#0,humaneval/21,humaneval,small,0,116,225853318,225853419,0445024c72d2,1,2026-09-20T01:24:33Z,1,3,1,1,1,2,0
branch:log:humaneval/21#0:small#1,log:humaneval/21#0,humaneval/21,humaneval,small,1,117,288846297,288846398,0445024c72d2,1,2026-09-20T01:24:33Z,1,2,1,1,1,1,0
branch:log:humaneval/21#0:large#0,log:humaneval/21#0,humaneval/21,humaneval,large,0,118,1131667911,1131668012,0445024c72d2,1,2026-09-20T01:24:52Z,1,2,1,1,1,1,0
