horizon,floor,n,policy,dr_rmse_shared_log,onpolicy_rmse_split_budget,rmse_ratio_separate_over_dr
10,0.05,250,failure_escalation,0.7290763784024903,0.07583636103884045,0.10401703207695286
10,0.05,250,soft_escalation,0.2876984738619477,0.07478135848359914,0.25992963215885195
10,0.05,4000,always_small,3.782885948205914,0.016297926608133846,0.004308331477945657
10,0.05,4000,always_large,0.136333197011077,0.01598213459730154,0.11722848834831476
10,0.05,4000,fixed_switch,0.31898766761825703,0.015926971104358967,0.049929739363527036
10,0.05,4000,failure_escalation,0.20613899569476343,0.018959090259710112,0.09197236163788942
10,0.05,4000,soft_escalation,0.0819236958380459,0.018695339620899785,0.22820429949667317
10,0.2,1000,always_small,4.8169400361188135,0.03259585321626769,0.006766921110052135
10,0.2,1000,always_large,0.2620055463525807,0.03196426919460308,0.12199844484051028
10,0.2,1000,fixed_switch,0.6322347420124892,0.031853942208717935,0.05038309363911655
10,0.2,1000,failure_escalation,0.6103915624776699,0.037918180519420225,0.062121075798467304
10,0.2,1000,soft_escalation,0.22029080489595276,0.03739067924179957,0.16973327261416948
10,0.2,250,always_small,0.906723711289571,0.06519170643253538,0.07189809378627332
10,0.2,250,always_large,0.4201784458819756,0.06392853838920616,0.15214616317364152
10,0.2,250,fixed_switch,1.1516532602576937,0.06370788441743587,0.05531863332126599
10,0.2,250,failure_escalation,0.8023875174993796,0.07583636103884045,0.09451338584526159
10,0.2,250,soft_escalation,0.2992015008153108,0.07478135848359914,0.24993644176190047
10,0.2,4000,always_small,4.235499827507121,0.016297926608133846,0.0038479346645909985
10,0.2,4000,always_large,0.14271899199546076,0.01598213459730154,0.11198323624517934
10,0.2,4000,fixed_switch,0.31743558735883026,0.015926971104358967,0.050173867513962966
10,0.2,4000,failure_escalation,0.20594487436607622,0.018959090259710112,0.09205905375440168
10,0.2,4000,soft_escalation,0.08025389322010609,0.018695339620899785,0.23295243222189277
10,0.5,1000,always_small,0.42174801776308113,0.03259585321626769,0.07728750780893666
10,0.5,1000,always_large,0.4506407763307578,0.03196426919460308,0.07093070772437644
10,0.5,1000,fixed_switch,0.40541501626332543,0.031853942208717935,0.07857119477791652
10,0.5,1000,failure_escalation,0.4757789146125923,0.037918180519420225,0.0796970596107553
10,0.5,1000,soft_escalation,0.1755698778555563,0.03739067924179957,0.21296750728824557
10,0.5,250,always_small,0.8500928268549847,0.06519170643253538,0.07668775029395264
10,0.5,250,always_large,0.8320406752727104,0.06392853838920616,0.07683342928908239
10,0.5,250,fixed_switch,0.7667174299361244,0.06370788441743587,0.08309173879449096
10,0.5,250,failure_escalation,1.0072741024863339,0.07583636103884045,0.07528870329500936
10,0.5,250,soft_escalation,0.37195801681225155,0.07478135848359914,0.2010478470782512
10,0.5,4000,always_small,0.20917045667693263,0.016297926608133846,0.07791696240022211
10,0.5,4000,always_large,0.21040579965653203,0.01598213459730154,0.07595862197425592
10,0.5,4000,fixed_switch,0.20908781648050773,0.015926971104358967,0.07617359716338978
10,0.5,4000,failure_escalation,0.24897507098244515,0.018959090259710112,0.07614854846671332
10,0.5,4000,soft_escalation,0.09306814568165134,0.018695339620899785,0.20087796403346228
