n,horizon,floor,policy,q_spec,behavior,method,bias,bias_mc_se,rmse,coverage_95,coverage_mc_se
1000,10,0.05,failure_escalation,misspecified,misspecified,ipw,2.3364241854694647,0.06351595477535886,3.0804415607118827,0.901,0.009444522221901962
1000,10,0.05,failure_escalation,misspecified,misspecified,gcomp,0.04424485584801228,0.0007511488231864409,0.05021222559328742,,
1000,10,0.05,failure_escalation,misspecified,misspecified,dr,-1.1194551965323487,0.051560117299540895,1.9771108181611252,0.907,0.009184280047995052
1000,10,0.05,soft_escalation,correct,known,ipw,0.007409190132186406,0.008881716780039978,0.2808218370538477,0.776,0.013184233007649704
1000,10,0.05,soft_escalation,correct,known,gcomp,0.0003276315495965878,0.000774064988245205,0.02446803571710066,,
1000,10,0.05,soft_escalation,correct,known,dr,-0.00032953618038601153,0.006870843410181593,0.21716673150407445,0.951,0.006826346021115546
1000,10,0.05,soft_escalation,misspecified,known,ipw,0.007409190132186406,0.008881716780039978,0.2808218370538477,0.776,0.013184233007649704
1000,10,0.05,soft_escalation,misspecified,known,gcomp,0.048287639474278096,0.0007356633030210448,0.05359435997298859,,
1000,10,0.05,soft_escalation,misspecified,known,dr,0.0012483339121281021,0.006528628365513232,0.206353879741102,0.948,0.007021111023192843
1000,10,0.05,soft_escalation,correct,misspecified,ipw,1.3248800396224643,0.022405483917253003,1.5022685589623246,0.599,0.015498354751392161
1000,10,0.05,soft_escalation,correct,misspecified,gcomp,0.0003276315495965878,0.000774064988245205,0.02446803571710066,,
1000,10,0.05,soft_escalation,correct,misspecified,dr,0.008483273248710416,0.01731253911998765,0.547262508030044,0.961,0.006122009474020767
1000,10,0.05,soft_escalation,misspecified,misspecified,ipw,1.3248800396224643,0.022405483917253003,1.5022685589623246,0.599,0.015498354751392161
1000,10,0.05,soft_escalation,misspecified,misspecified,gcomp,0.048287639474278096,0.0007356633030210448,0.05359435997298859,,
1000,10,0.05,soft_escalation,misspecified,misspecified,dr,-0.5441663037129217,0.018279558442010114,0.7936781971773018,0.865,0.010806248192596726
1000,10,0.2,always_small,correct,known,ipw,0.3286853013660644,0.3683605679264191,11.647396813125454,0.017,0.004087909000944126
1000,10,0.2,always_small,correct,known,gcomp,0.0010577611366499639,0.0011592333822203105,0.03665510975350768,,
1000,10,0.2,always_small,correct,known,dr,0.2095766094392776,0.15225692472747412,4.8169400361188135,0.531,0.01578096955196353
1000,10,0.2,always_small,misspecified,known,ipw,0.3286853013660644,0.3683605679264191,11.647396813125454,0.017,0.004087909000944126
1000,10,0.2,always_small,misspecified,known,gcomp,0.10871485357049969,0.0010089425237913827,0.11329548286738265,,
1000,10,0.2,always_small,misspecified,known,dr,0.27699413465116723,0.14221641137134525,4.503555029786081,0.031,0.0054807846153630225
1000,10,0.2,always_small,correct,misspecified,ipw,-0.289945356622481,0.004188113397441601,0.31873353033990276,0.017,0.004087909000944126
1000,10,0.2,always_small,correct,misspecified,gcomp,0.0010577611366499639,0.0011592333822203105,0.03665510975350768,,
1000,10,0.2,always_small,correct,misspecified,dr,0.004151281633947205,0.002989063066396151,0.09456636112319758,0.443,0.015708309902723462
1000,10,0.2,always_small,misspecified,misspecified,ipw,-0.289945356622481,0.004188113397441601,0.31873353033990276,0.017,0.004087909000944126
1000,10,0.2,always_small,misspecified,misspecified,gcomp,0.10871485357049969,0.0010089425237913827,0.11329548286738265,,
1000,10,0.2,always_small,misspecified,misspecified,dr,0.10772302761948285,0.0029582665050528994,0.142642350140871,0.031,0.0054807846153630225
1000,10,0.2,always_large,correct,known,ipw,-0.01335722919882251,0.017336087861582482,0.5481038386784322,0.609,0.015431104950715617
1000,10,0.2,always_large,correct,known,gcomp,0.0004667446537434862,0.0005062305989420902,0.016007217136584366,,
1000,10,0.2,always_large,correct,known,dr,-0.01012527768052305,0.008283296328725426,0.2620055463525807,0.955,0.00655553201502365
1000,10,0.2,always_large,misspecified,known,ipw,-0.01335722919882251,0.017336087861582482,0.5481038386784322,0.609,0.015431104950715617
1000,10,0.2,always_large,misspecified,known,gcomp,-0.022348564054568767,0.000513903764003969,0.027627726958256136,,
1000,10,0.2,always_large,misspecified,known,dr,-0.009936300837892216,0.008336899094682436,0.2636913208710954,0.961,0.006122009474020767
1000,10,0.2,always_large,correct,misspecified,ipw,6.046584872959562,0.0836599718213622,6.599483352518541,0.317,0.014714312760030624
1000,10,0.2,always_large,correct,misspecified,gcomp,0.0004667446537434862,0.0005062305989420902,0.016007217136584366,,
1000,10,0.2,always_large,correct,misspecified,dr,-0.06862679394576607,0.05644867277841269,1.785490364755055,0.958,0.006343185319695463
